dropout,graduate,enrolled
0.0567462019158867,0.0030318962528833294,0.94022190183123
0.013813559642606344,0.0017167452408173027,0.9844696951165764
0.9933962822556816,0.0018448457324845215,0.004758872011833902
0.9996468290154765,0.00032707654213697847,2.6094442386565844e-05
0.07664223937871131,0.0030123835236003887,0.9203453770976884
0.9995215761075075,0.00044346755176452504,3.4956340728091184e-05
0.7542033114710692,0.004068914729441121,0.24172777379948962
0.1265750960651349,0.002085284347622078,0.8713396195872432
0.06809113741457945,0.0021681972478104572,0.9297406653376101
0.9988868670972134,0.0009739360009955407,0.0001391969017911306
0.176752528925142,0.002761297765555341,0.8204861733093026
0.06038709837066565,0.0020766846688173007,0.937536216960517
0.9927661536729862,0.002233012477801488,0.005000833849212221
0.998979453779991,0.0004830739291976262,0.0005374722908112801
0.9993874345710317,0.0005392828572985743,7.328257166975729e-05
0.9683447214210628,0.00410704975259394,0.027548228826343283
0.009115946434664434,0.0011795689994113499,0.9897044845659241
0.03183614709747443,0.0015589536587846502,0.9666048992437409
0.27946829490352715,0.003154099770268377,0.7173776053262045
0.99503921683017,0.0022188737631226346,0.002741909406707207
0.3648727333297185,0.004479794054566678,0.6306474726157149
0.03710288802184822,0.0012216344413516842,0.9616754775368002
0.9961690803053845,0.0011034642676750338,0.0027274554269404315
0.018423110542998066,0.0014106783427663932,0.9801662111142355
0.032229822525499385,0.0013934975509887716,0.9663766799235118
0.2799521074969579,0.004172868111441312,0.7158750243916008
0.9977557870569558,0.0007382214747128859,0.0015059914683312437
0.9965823353787268,0.0015682174757367371,0.001849447145536454
0.02269911556532982,0.001700515833455948,0.9756003686012141
0.1562286522445056,0.003380696569093586,0.8403906511864008
0.14992228595106818,0.0044989153019940565,0.8455787987469378
0.9956286425769704,0.0019459372776171127,0.002425420145412475
0.016584613839711174,0.001380804529834312,0.9820345816304544
0.9779543696624372,0.0018120846712409199,0.02023354566632185
0.880794255602629,0.006390469384960454,0.11281527501241033
0.006596933979086644,0.000960988917955713,0.9924420771029575
0.362965944326218,0.006417456202814747,0.6306165994709673
0.9955730984698932,0.0018727726686883388,0.0025541288614184874
0.9394495690318715,0.003103951089274452,0.057446479878853936
0.46675416029074074,0.0052406614820682245,0.5280051782271911
0.9378899612182788,0.002801484768144516,0.059308554013576695
0.029703109589588925,0.0016665263879583907,0.9686303640224526
0.06593490294029501,0.0030783525364226853,0.9309867445232822
0.018119826884708715,0.0009978654583333109,0.980882307656958
0.9753844639662897,0.0028241732624560566,0.021791362771254295
0.18096283492524237,0.0036504588679225044,0.8153867062068352
0.09810869776179845,0.002757402953585682,0.899133899284616
0.11865785813662567,0.0031242504997023852,0.8782178913636719
0.8782994457225443,0.003046879806435418,0.11865367447102045
0.853351220155537,0.004547291183180426,0.14210148866128275
0.11120355171123604,0.0019139033845821146,0.8868825449041818
0.09436758260156966,0.002263572440926964,0.9033688449575032
0.9394042010293325,0.0018836769795674028,0.05871212199110018
0.9360334135524587,0.0023079830059684592,0.06165860344157281
0.9406428192548718,0.0026078375799791775,0.056749343165149194
0.26479645697536297,0.004480648161074355,0.7307228948635626
0.05577085269429524,0.0021301514631265105,0.9420989958425782
0.02078463390112041,0.0016267334715021815,0.9775886326273773
0.06525994759007311,0.002319058865750851,0.9324209935441761
0.007790767643936361,0.0010566570605271136,0.9911525752955366
0.009476594377607247,0.0009908157072773245,0.9895325899151154
0.9844292634302382,0.0027105710811083997,0.01286016548865335
0.38105911520765146,0.0041093681361865815,0.614831516656162
0.6702260355201795,0.0034919218719135113,0.3262820426079071
0.41792454879013924,0.005211391100065687,0.5768640601097951
0.19022620079825658,0.00896124834617398,0.8008125508555693
0.06701936562599546,0.003825599968080043,0.9291550344059244
0.9960758525560797,0.0012276088860804124,0.0026965385578397597
0.4057529055166038,0.005176497084116605,0.5890705973992795
0.06668966755783921,0.0022446243616571215,0.9310657080805037
0.001102625090313394,0.0012567189135856284,0.9976406559961011
0.06089446489164754,0.002345201914706237,0.9367603331936462
0.01762207062067614,0.0014626105784789935,0.9809153188008449
0.01951018099226231,0.0016806811650431663,0.9788091378426944
